threshold_ppb,night_hour,month,pct_exceeding,local_hour
30.0,15,3,14.285714285714285,3
30.0,15,4,28.8135593220339,3
30.0,15,5,26.229508196721312,3
30.0,15,6,5.084745762711865,3
30.0,15,7,9.67741935483871,3
30.0,15,8,0.0,3
30.0,15,9,6.666666666666667,3
30.0,15,10,1.8181818181818181,3
30.0,15,11,5.0,3
30.0,15,12,3.278688524590164,3
30.0,16,1,1.639344262295082,4
30.0,16,2,10.204081632653061,4
30.0,16,3,14.285714285714285,4
30.0,16,4,28.8135593220339,4
30.0,16,5,24.59016393442623,4
30.0,16,6,6.779661016949152,4
30.0,16,7,11.29032258064516,4
30.0,16,8,1.8867924528301887,4
30.0,16,9,6.666666666666667,4
30.0,16,10,3.6363636363636362,4
30.0,16,11,3.3333333333333335,4
30.0,16,12,4.918032786885246,4
30.0,17,1,1.639344262295082,5
30.0,17,2,6.122448979591836,5
30.0,17,3,16.071428571428573,5
30.0,17,4,23.728813559322035,5
30.0,17,5,14.754098360655737,5
30.0,17,6,3.389830508474576,5
30.0,17,7,6.451612903225806,5
30.0,17,8,0.0,5
30.0,17,9,13.333333333333334,5
30.0,17,10,3.6363636363636362,5
30.0,17,11,1.6666666666666667,5
30.0,17,12,0.0,5
30.0,18,1,1.639344262295082,6
30.0,18,2,0.0,6
30.0,18,3,12.5,6
30.0,18,4,22.033898305084744,6
30.0,18,5,9.836065573770492,6
30.0,18,6,5.084745762711865,6
30.0,18,7,3.225806451612903,6
30.0,18,8,3.7735849056603774,6
30.0,18,9,0.0,6
30.0,18,10,1.8181818181818181,6
30.0,18,11,0.0,6
30.0,18,12,3.278688524590164,6
30.0,19,1,3.3333333333333335,7
30.0,19,2,2.083333333333333,7
30.0,19,3,12.727272727272727,7
30.0,19,4,15.254237288135593,7
30.0,19,5,0.0,7
30.0,19,6,0.0,7
30.0,19,7,1.6129032258064515,7
30.0,19,8,1.8867924528301887,7
30.0,19,9,0.0,7
30.0,19,10,1.8181818181818181,7
30.0,19,11,0.0,7
30.0,19,12,1.639344262295082,7
30.0,20,1,3.3333333333333335,8
30.0,20,2,2.127659574468085,8
30.0,20,3,9.433962264150944,8
